clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",68.379,,,,,,50.455243,,,,4.894263,9.929,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.9 \u00b0C vs archive 11.1 \u00b0C (\u0394 1.2)"", ""rainfall_mm: run 445 mm/yr eq. vs archive 940 mm/yr eq. (rel \u0394 53%)"", ""humidity_pct: run 68% vs archive 80% (\u0394 11)"", ""frost_risk: run 0.000 vs archive 0.051 (\u0394 0.051)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.139, ""temp_std_c"": 6.729, ""frost_risk"": 0.051, ""rainfall_mm"": 939.575, ""humidity_pct"": 79.812, ""wind_speed_10m_kmh"": 13.966, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.9 °C vs archive 11.1 °C (Δ 1.2) rainfall_mm: run 445 mm/yr eq. vs archive 940 mm/yr eq. (rel Δ 53%) humidity_pct: run 68% vs archive 80% (Δ 11) frost_risk: run 0.000 vs archive 0.051 (Δ 0.051),mostly_aligned,P002,445.3,0.161,low,balanced climate and stress indicators,"Best-ranked site P002 for Tobacco scores 63.4% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Relative humidity (68.4%) is within the ideal band (46.87–70.87) for Tobacco. Clay content (18.4%) is within the ideal band (16–40) for Tobacco. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Tobacco. Rainfall (445 mm (annualized)) is within the ideal band (150–1400) for Tobacco. Soil pH (6.48) is within the ideal band (5–8.5) for Tobacco. Soil organic carbon (15.1 g/kg) is within the ideal band (4–50) for Tobacco. Wind speed (10.6 km/h) is within the ideal band (0–40) for Tobacco. (+1 more positives)

What works against the site: Mean temperature is 9.9 °C, outside the viable range (11.94–47.94) for Tobacco (ideal 24.94–34.94). This heavily penalizes suitability.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",63.384,good,,True,15.08,6.48,4.455,,True,0.0,10.621
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",67.65,,,,,,50.497899,,,,5.029307,9.832,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.8 \u00b0C vs archive 11.2 \u00b0C (\u0394 1.4)"", ""rainfall_mm: run 393 mm/yr eq. vs archive 950 mm/yr eq. (rel \u0394 59%)"", ""humidity_pct: run 68% vs archive 79% (\u0394 12)"", ""frost_risk: run 0.000 vs archive 0.051 (\u0394 0.051)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.195, ""temp_std_c"": 6.793, ""frost_risk"": 0.051, ""rainfall_mm"": 950.132, ""humidity_pct"": 79.195, ""wind_speed_10m_kmh"": 14.325, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.8 °C vs archive 11.2 °C (Δ 1.4) rainfall_mm: run 393 mm/yr eq. vs archive 950 mm/yr eq. (rel Δ 59%) humidity_pct: run 68% vs archive 79% (Δ 12) frost_risk: run 0.000 vs archive 0.051 (Δ 0.051),mostly_aligned,P003,393.105,0.16,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.447,,True,0.0,10.537
22.9,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",68.5,,,,,,50.163694,,,,5.038482,9.543,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.5 \u00b0C vs archive 11.1 \u00b0C (\u0394 1.6)"", ""rainfall_mm: run 281 mm/yr eq. vs archive 965 mm/yr eq. (rel \u0394 71%)"", ""humidity_pct: run 68% vs archive 79% (\u0394 11)"", ""frost_risk: run 0.000 vs archive 0.053 (\u0394 0.053)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.112, ""temp_std_c"": 6.899, ""frost_risk"": 0.053, ""rainfall_mm"": 964.752, ""humidity_pct"": 79.067, ""wind_speed_10m_kmh"": 12.67, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.5 °C vs archive 11.1 °C (Δ 1.6) rainfall_mm: run 281 mm/yr eq. vs archive 965 mm/yr eq. (rel Δ 71%) humidity_pct: run 68% vs archive 79% (Δ 11) frost_risk: run 0.000 vs archive 0.053 (Δ 0.053),mostly_aligned,P004,281.415,0.157,low,balanced climate and stress indicators,,63.384,good,,True,16.646,8.02,4.626,,True,0.0,10.012
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",67.096,,,,,,50.26128,,,,4.558352,9.772,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.8 \u00b0C vs archive 10.7 \u00b0C (\u0394 0.9)"", ""rainfall_mm: run 387 mm/yr eq. vs archive 960 mm/yr eq. (rel \u0394 60%)"", ""humidity_pct: run 67% vs archive 81% (\u0394 14)"", ""frost_risk: run 0.000 vs archive 0.056 (\u0394 0.056)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.706, ""temp_std_c"": 6.686, ""frost_risk"": 0.056, ""rainfall_mm"": 959.557, ""humidity_pct"": 81.371, ""wind_speed_10m_kmh"": 13.932, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.8 °C vs archive 10.7 °C (Δ 0.9) rainfall_mm: run 387 mm/yr eq. vs archive 960 mm/yr eq. (rel Δ 60%) humidity_pct: run 67% vs archive 81% (Δ 14) frost_risk: run 0.000 vs archive 0.056 (Δ 0.056),review,P005,387.265,0.166,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.362,,True,0.0,11.571
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",67.467,,,,,,50.256544,,,,5.282268,9.438,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.4 \u00b0C vs archive 10.6 \u00b0C (\u0394 1.2)"", ""rainfall_mm: run 314 mm/yr eq. vs archive 1030 mm/yr eq. (rel \u0394 70%)"", ""humidity_pct: run 67% vs archive 81% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.060 (\u0394 0.060)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.605, ""temp_std_c"": 6.79, ""frost_risk"": 0.06, ""rainfall_mm"": 1030.059, ""humidity_pct"": 80.826, ""wind_speed_10m_kmh"": 14.251, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.4 °C vs archive 10.6 °C (Δ 1.2) rainfall_mm: run 314 mm/yr eq. vs archive 1030 mm/yr eq. (rel Δ 70%) humidity_pct: run 67% vs archive 81% (Δ 13) frost_risk: run 0.000 vs archive 0.060 (Δ 0.060),review,P006,313.535,0.158,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.554,,True,0.0,10.175
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",67.875,,,,,,50.433187,,,,4.920898,9.816,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.8 \u00b0C vs archive 11.1 \u00b0C (\u0394 1.3)"", ""rainfall_mm: run 415 mm/yr eq. vs archive 940 mm/yr eq. (rel \u0394 56%)"", ""humidity_pct: run 68% vs archive 80% (\u0394 12)"", ""frost_risk: run 0.000 vs archive 0.051 (\u0394 0.051)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.139, ""temp_std_c"": 6.729, ""frost_risk"": 0.051, ""rainfall_mm"": 939.575, ""humidity_pct"": 79.812, ""wind_speed_10m_kmh"": 13.966, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.8 °C vs archive 11.1 °C (Δ 1.3) rainfall_mm: run 415 mm/yr eq. vs archive 940 mm/yr eq. (rel Δ 56%) humidity_pct: run 68% vs archive 80% (Δ 12) frost_risk: run 0.000 vs archive 0.051 (Δ 0.051),mostly_aligned,P007,415.37,0.16,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.498,,True,0.0,10.546
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",66.883,,,,,,50.325264,,,,4.593912,9.88,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.9 \u00b0C vs archive 10.7 \u00b0C (\u0394 0.8)"", ""rainfall_mm: run 403 mm/yr eq. vs archive 960 mm/yr eq. (rel \u0394 58%)"", ""humidity_pct: run 67% vs archive 81% (\u0394 14)"", ""frost_risk: run 0.000 vs archive 0.056 (\u0394 0.056)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.716, ""temp_std_c"": 6.676, ""frost_risk"": 0.056, ""rainfall_mm"": 960.356, ""humidity_pct"": 81.179, ""wind_speed_10m_kmh"": 14.302, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.9 °C vs archive 10.7 °C (Δ 0.8) rainfall_mm: run 403 mm/yr eq. vs archive 960 mm/yr eq. (rel Δ 58%) humidity_pct: run 67% vs archive 81% (Δ 14) frost_risk: run 0.000 vs archive 0.056 (Δ 0.056),review,P008,402.595,0.164,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.364,,True,0.0,11.229
22.9,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",68.921,,,,,,50.144906,,,,4.835417,9.707,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.7 \u00b0C vs archive 11.1 \u00b0C (\u0394 1.4)"", ""rainfall_mm: run 286 mm/yr eq. vs archive 914 mm/yr eq. (rel \u0394 69%)"", ""humidity_pct: run 69% vs archive 80% (\u0394 11)"", ""frost_risk: run 0.000 vs archive 0.054 (\u0394 0.054)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.091, ""temp_std_c"": 6.872, ""frost_risk"": 0.054, ""rainfall_mm"": 914.398, ""humidity_pct"": 79.504, ""wind_speed_10m_kmh"": 12.722, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.7 °C vs archive 11.1 °C (Δ 1.4) rainfall_mm: run 286 mm/yr eq. vs archive 914 mm/yr eq. (rel Δ 69%) humidity_pct: run 69% vs archive 80% (Δ 11) frost_risk: run 0.000 vs archive 0.054 (Δ 0.054),mostly_aligned,P009,285.795,0.158,low,balanced climate and stress indicators,,63.384,good,,True,16.646,8.02,4.627,,True,0.0,10.079
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",66.846,,,,,,50.226729,,,,4.576291,9.655,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.7 \u00b0C vs archive 10.7 \u00b0C (\u0394 1.1)"", ""rainfall_mm: run 361 mm/yr eq. vs archive 960 mm/yr eq. (rel \u0394 62%)"", ""humidity_pct: run 67% vs archive 81% (\u0394 15)"", ""frost_risk: run 0.000 vs archive 0.056 (\u0394 0.056)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.706, ""temp_std_c"": 6.686, ""frost_risk"": 0.056, ""rainfall_mm"": 959.557, ""humidity_pct"": 81.371, ""wind_speed_10m_kmh"": 13.932, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.7 °C vs archive 10.7 °C (Δ 1.1) rainfall_mm: run 361 mm/yr eq. vs archive 960 mm/yr eq. (rel Δ 62%) humidity_pct: run 67% vs archive 81% (Δ 15) frost_risk: run 0.000 vs archive 0.056 (Δ 0.056),review,P010,360.62,0.163,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.423,,True,0.0,11.079
18.4,0.817,Belgium,rules,10.0,0.0,"[""mean_temp_c""]",67.808,,,,,,50.294855,,,,4.999341,9.672,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Prov. Namur,"[""mean_temp_c: run 9.7 \u00b0C vs archive 10.6 \u00b0C (\u0394 0.9)"", ""rainfall_mm: run 320 mm/yr eq. vs archive 1026 mm/yr eq. (rel \u0394 69%)"", ""humidity_pct: run 68% vs archive 81% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.059 (\u0394 0.059)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.618, ""temp_std_c"": 6.742, ""frost_risk"": 0.059, ""rainfall_mm"": 1025.697, ""humidity_pct"": 81.067, ""wind_speed_10m_kmh"": 14.105, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.7 °C vs archive 10.6 °C (Δ 0.9) rainfall_mm: run 320 mm/yr eq. vs archive 1026 mm/yr eq. (rel Δ 69%) humidity_pct: run 68% vs archive 81% (Δ 13) frost_risk: run 0.000 vs archive 0.059 (Δ 0.059),review,P011,320.47,0.159,low,balanced climate and stress indicators,,63.384,good,,True,15.08,6.48,4.496,,True,0.0,10.296
