clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
26.0,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",63.671,,,,,,49.509824,,,,10.571058,8.092,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.1 \u00b0C vs archive 10.5 \u00b0C (\u0394 2.5)"", ""rainfall_mm: run 316 mm/yr eq. vs archive 765 mm/yr eq. (rel \u0394 59%)"", ""humidity_pct: run 64% vs archive 76% (\u0394 12)"", ""frost_risk: run 0.000 vs archive 0.095 (\u0394 0.095)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.547, ""temp_std_c"": 8.04, ""frost_risk"": 0.095, ""rainfall_mm"": 764.802, ""humidity_pct"": 75.872, ""wind_speed_10m_kmh"": 11.576, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.1 °C vs archive 10.5 °C (Δ 2.5) rainfall_mm: run 316 mm/yr eq. vs archive 765 mm/yr eq. (rel Δ 59%) humidity_pct: run 64% vs archive 76% (Δ 12) frost_risk: run 0.000 vs archive 0.095 (Δ 0.095),review,P003,315.725,0.159,low,balanced climate and stress indicators,"Best-ranked site P003 for Ground Nuts scores 63.1% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Relative humidity (63.7%) is within the ideal band (47.005–71.005) for Ground Nuts. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Ground Nuts. Rainfall (316 mm (annualized)) is within the ideal band (150–1400) for Ground Nuts. Soil pH (6.67) is within the ideal band (5–8.5) for Ground Nuts. Soil organic carbon (17.7 g/kg) is within the ideal band (4–50) for Ground Nuts. Wind speed (10.4 km/h) is within the ideal band (0–40) for Ground Nuts. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Ground Nuts.

What is acceptable but not ideal: Clay content is 26.0%, above the ideal range (0–24) but still inside acceptable bounds (0–100), which can add stress or management needs.

What works against the site: Mean temperature is 8.1 °C, outside the viable range (12.295–48) for Ground Nuts (ideal 25.295–35.295). This heavily penalizes suitability.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",63.077,good,,True,17.748,6.67,4.077,,True,0.0,10.354
26.0,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",63.729,,,,,,49.675508,,,,10.428139,8.338,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.3 \u00b0C vs archive 10.5 \u00b0C (\u0394 2.1)"", ""rainfall_mm: run 321 mm/yr eq. vs archive 824 mm/yr eq. (rel \u0394 61%)"", ""humidity_pct: run 64% vs archive 77% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.099 (\u0394 0.099)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.468, ""temp_std_c"": 8.053, ""frost_risk"": 0.099, ""rainfall_mm"": 824.414, ""humidity_pct"": 76.525, ""wind_speed_10m_kmh"": 11.298, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.3 °C vs archive 10.5 °C (Δ 2.1) rainfall_mm: run 321 mm/yr eq. vs archive 824 mm/yr eq. (rel Δ 61%) humidity_pct: run 64% vs archive 77% (Δ 13) frost_risk: run 0.000 vs archive 0.099 (Δ 0.099),review,P006,320.835,0.159,low,balanced climate and stress indicators,,63.077,good,,True,17.748,6.67,3.982,,True,0.0,10.254
26.0,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",62.263,,,,,,49.585576,,,,10.838964,8.292,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.3 \u00b0C vs archive 10.6 \u00b0C (\u0394 2.3)"", ""rainfall_mm: run 450 mm/yr eq. vs archive 797 mm/yr eq. (rel \u0394 43%)"", ""humidity_pct: run 62% vs archive 76% (\u0394 14)"", ""frost_risk: run 0.000 vs archive 0.096 (\u0394 0.096)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.618, ""temp_std_c"": 8.176, ""frost_risk"": 0.096, ""rainfall_mm"": 796.772, ""humidity_pct"": 76.096, ""wind_speed_10m_kmh"": 10.141, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.3 °C vs archive 10.6 °C (Δ 2.3) rainfall_mm: run 450 mm/yr eq. vs archive 797 mm/yr eq. (rel Δ 43%) humidity_pct: run 62% vs archive 76% (Δ 14) frost_risk: run 0.000 vs archive 0.096 (Δ 0.096),review,P007,450.41,0.156,low,balanced climate and stress indicators,,63.077,good,,True,17.748,6.67,4.134,,True,0.0,9.85
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",64.292,,,,,,49.145955,,,,10.868803,7.919,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 7.9 \u00b0C vs archive 10.3 \u00b0C (\u0394 2.4)"", ""rainfall_mm: run 303 mm/yr eq. vs archive 780 mm/yr eq. (rel \u0394 61%)"", ""humidity_pct: run 64% vs archive 77% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.100 (\u0394 0.100)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.322, ""temp_std_c"": 8.018, ""frost_risk"": 0.1, ""rainfall_mm"": 779.988, ""humidity_pct"": 77.029, ""wind_speed_10m_kmh"": 10.653, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 7.9 °C vs archive 10.3 °C (Δ 2.4) rainfall_mm: run 303 mm/yr eq. vs archive 780 mm/yr eq. (rel Δ 61%) humidity_pct: run 64% vs archive 77% (Δ 13) frost_risk: run 0.000 vs archive 0.100 (Δ 0.100),review,P001,303.315,0.156,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,4.244,,True,0.0,9.779
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",63.317,,,,,,49.030458,,,,11.105111,7.676,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 7.7 \u00b0C vs archive 10.1 \u00b0C (\u0394 2.4)"", ""rainfall_mm: run 372 mm/yr eq. vs archive 827 mm/yr eq. (rel \u0394 55%)"", ""humidity_pct: run 63% vs archive 76% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.108 (\u0394 0.108)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.112, ""temp_std_c"": 8.019, ""frost_risk"": 0.108, ""rainfall_mm"": 827.311, ""humidity_pct"": 76.203, ""wind_speed_10m_kmh"": 11.269, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 7.7 °C vs archive 10.1 °C (Δ 2.4) rainfall_mm: run 372 mm/yr eq. vs archive 827 mm/yr eq. (rel Δ 55%) humidity_pct: run 63% vs archive 76% (Δ 13) frost_risk: run 0.000 vs archive 0.108 (Δ 0.108),review,P004,371.57,0.16,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,4.1,,True,0.0,10.454
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",64.438,,,,,,48.925418,,,,10.91338,8.037,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.0 \u00b0C vs archive 9.9 \u00b0C (\u0394 1.8)"", ""rainfall_mm: run 317 mm/yr eq. vs archive 863 mm/yr eq. (rel \u0394 63%)"", ""humidity_pct: run 64% vs archive 77% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.115 (\u0394 0.115)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 9.867, ""temp_std_c"": 8.028, ""frost_risk"": 0.115, ""rainfall_mm"": 863.145, ""humidity_pct"": 77.318, ""wind_speed_10m_kmh"": 11.206, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.0 °C vs archive 9.9 °C (Δ 1.8) rainfall_mm: run 317 mm/yr eq. vs archive 863 mm/yr eq. (rel Δ 63%) humidity_pct: run 64% vs archive 77% (Δ 13) frost_risk: run 0.000 vs archive 0.115 (Δ 0.115),review,P005,316.82,0.157,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,4.195,,True,0.0,10.046
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",65.779,,,,,,49.313427,,,,10.177565,8.098,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.1 \u00b0C vs archive 10.1 \u00b0C (\u0394 2.0)"", ""rainfall_mm: run 254 mm/yr eq. vs archive 850 mm/yr eq. (rel \u0394 70%)"", ""humidity_pct: run 66% vs archive 77% (\u0394 12)"", ""frost_risk: run 0.000 vs archive 0.107 (\u0394 0.107)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.064, ""temp_std_c"": 7.929, ""frost_risk"": 0.107, ""rainfall_mm"": 849.957, ""humidity_pct"": 77.482, ""wind_speed_10m_kmh"": 11.988, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.1 °C vs archive 10.1 °C (Δ 2.0) rainfall_mm: run 254 mm/yr eq. vs archive 850 mm/yr eq. (rel Δ 70%) humidity_pct: run 66% vs archive 77% (Δ 12) frost_risk: run 0.000 vs archive 0.107 (Δ 0.107),review,P008,254.04,0.164,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,3.967,,True,0.0,11.129
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",65.862,,,,,,49.224254,,,,10.573309,7.737,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 7.7 \u00b0C vs archive 10.2 \u00b0C (\u0394 2.4)"", ""rainfall_mm: run 241 mm/yr eq. vs archive 759 mm/yr eq. (rel \u0394 68%)"", ""humidity_pct: run 66% vs archive 77% (\u0394 11)"", ""frost_risk: run 0.000 vs archive 0.105 (\u0394 0.105)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.18, ""temp_std_c"": 8.022, ""frost_risk"": 0.105, ""rainfall_mm"": 758.807, ""humidity_pct"": 76.836, ""wind_speed_10m_kmh"": 11.323, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 7.7 °C vs archive 10.2 °C (Δ 2.4) rainfall_mm: run 241 mm/yr eq. vs archive 759 mm/yr eq. (rel Δ 68%) humidity_pct: run 66% vs archive 77% (Δ 11) frost_risk: run 0.000 vs archive 0.105 (Δ 0.105),review,P009,240.9,0.158,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,4.19,,True,0.0,10.1
28.4,0.817,Germany,rules,10.0,0.0,"[""mean_temp_c""]",65.842,,,,,,49.128401,,,,10.696885,7.964,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.0 \u00b0C vs archive 10.2 \u00b0C (\u0394 2.3)"", ""rainfall_mm: run 264 mm/yr eq. vs archive 790 mm/yr eq. (rel \u0394 67%)"", ""humidity_pct: run 66% vs archive 77% (\u0394 11)"", ""frost_risk: run 0.000 vs archive 0.103 (\u0394 0.103)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.228, ""temp_std_c"": 8.047, ""frost_risk"": 0.103, ""rainfall_mm"": 789.546, ""humidity_pct"": 76.848, ""wind_speed_10m_kmh"": 10.913, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.0 °C vs archive 10.2 °C (Δ 2.3) rainfall_mm: run 264 mm/yr eq. vs archive 790 mm/yr eq. (rel Δ 67%) humidity_pct: run 66% vs archive 77% (Δ 11) frost_risk: run 0.000 vs archive 0.103 (Δ 0.103),review,P010,263.895,0.158,low,balanced climate and stress indicators,,62.709,good,,True,20.532,6.45,4.202,,True,0.0,10.1
26.0,0.817,Germany,llm,10.0,0.0,"[""mean_temp_c""]",63.763,,,,,,49.638568,poor,"The location is highly unsuitable for groundnuts. The mean annual temperature (8.241°C) is critically low, indicating an extremely short, cool growing season insufficient for groundnut maturity (optimal 25-30°C). Annual rainfall (339.815 mm) is severely deficient, requiring extensive irrigation. The clay content (26%) is high, hindering pegging and harvesting. Strongest positive: Ideal soil pH (6.67). Strongest limiting: Insufficient heat units and severe water deficit. Operational risks include crop failure due to lack of maturity and water stress. Mitigation is not feasible for field-scale production.",5.0,10.603878,8.241,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Mittelfranken,"[""mean_temp_c: run 8.2 \u00b0C vs archive 10.4 \u00b0C (\u0394 2.1)"", ""rainfall_mm: run 340 mm/yr eq. vs archive 774 mm/yr eq. (rel \u0394 56%)"", ""humidity_pct: run 64% vs archive 77% (\u0394 13)"", ""frost_risk: run 0.000 vs archive 0.102 (\u0394 0.102)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.364, ""temp_std_c"": 8.074, ""frost_risk"": 0.102, ""rainfall_mm"": 774.359, ""humidity_pct"": 76.874, ""wind_speed_10m_kmh"": 11.079, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.2 °C vs archive 10.4 °C (Δ 2.1) rainfall_mm: run 340 mm/yr eq. vs archive 774 mm/yr eq. (rel Δ 56%) humidity_pct: run 64% vs archive 77% (Δ 13) frost_risk: run 0.000 vs archive 0.102 (Δ 0.102),review,P002,339.815,0.157,low,balanced climate and stress indicators,,5.0,poor,,True,17.748,6.67,4.09,,True,0.0,10.0
