clay_pct,confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
22.9,0.887,France,rules,0.0,[],67.237,47.559751,,,,4.296381,12.696,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P010,354.78,0.15,low,balanced climate and stress indicators,"Best-ranked site P010 for Wheat scores 68.9% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (67.2%) is within the ideal band (47.93–71.93) for Wheat. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Wheat. Rainfall (355 mm (annualized)) is within the ideal band (150–1400) for Wheat. Soil pH (8.02) is within the ideal band (5–8.5) for Wheat. Soil organic carbon (16.6 g/kg) is within the ideal band (4–50) for Wheat. Wind speed (8.8 km/h) is within the ideal band (0–40) for Wheat. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Wheat.

What is acceptable but not ideal: Mean temperature is 12.7 °C, below the ideal range (25.56–35.56) but still inside acceptable bounds (12.56–48), so growth potential may be reduced. Clay content is 22.9%, below the ideal range (30–54) but still inside acceptable bounds (0–100), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",68.896,good,,True,16.646,8.02,4.589,,True,0.0,8.783
16.9,0.887,France,rules,0.0,[],68.196,47.272531,,,,3.130673,13.641,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P004,456.98,0.152,low,balanced climate and stress indicators,,68.429,good,,True,19.836,8.2,4.606,,True,0.0,9.025
17.9,0.887,France,rules,0.0,[],62.475,46.218775,,,,4.371792,13.429,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P007,424.495,0.141,low,balanced climate and stress indicators,,68.4,good,,True,16.82,8.01,4.362,,True,0.0,7.237
16.9,0.887,France,rules,0.0,[],66.821,46.81964,,,,4.603946,13.366,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P006,455.52,0.148,low,balanced climate and stress indicators,,67.887,good,,True,19.836,8.2,4.377,,True,0.0,8.342
16.9,0.887,France,rules,0.0,[],66.217,47.208529,,,,5.657426,13.314,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P009,406.61,0.148,low,balanced climate and stress indicators,,67.785,good,,True,19.836,8.2,4.497,,True,0.0,8.483
16.9,0.887,France,rules,0.0,[],64.892,47.054262,,,,4.253371,12.802,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P005,404.055,0.143,low,balanced climate and stress indicators,,66.776,good,,True,19.836,8.2,4.594,,True,0.0,7.533
22.9,0.887,France,llm,0.0,[],67.171,47.753253,good,"The location offers good suitability for wheat cultivation, though with significant management needs. The strongest positive factor is the complete absence of frost risk (0.0%), coupled with adequate rainfall (611.74 mm) and suitable mean temperatures (13.0°C). However, the strongest limiting factor is the highly alkaline soil pH of 8.02, which is well outside wheat's optimal range (6.0-7.5). This significantly increases the operational risk of nutrient deficiencies (e.g., iron, phosphorus, zinc, manganese) due to nutrient lockout. Mitigation strategies include soil amendments like elemental sulfur to gradually lower pH, targeted foliar nutrient applications, and selecting wheat varieties known for alkaline soil tolerance.",65.0,4.246986,13.008,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P002,611.74,0.153,low,balanced climate and stress indicators,,65.0,good,,True,16.646,8.02,4.532,,True,0.0,9.2
25.7,0.817,France,rules,0.0,"[""mean_temp_c""]",63.829,46.579907,,,,5.762056,12.545,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P003,571.955,0.141,low,balanced climate and stress indicators,,61.715,good,,True,16.008,6.9,4.378,,True,0.0,7.188
22.9,0.817,France,rules,0.0,"[""mean_temp_c""]",65.246,47.648726,,,,5.021061,12.533,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P008,182.135,0.152,low,balanced climate and stress indicators,,60.628,good,,True,16.646,8.02,4.176,,True,0.0,9.062
16.9,0.817,France,rules,0.0,"[""rainfall_mm""]",67.379,46.862608,,,,5.091667,13.87,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Bourgogne-Franche-Comté,P001,142.35,0.151,low,balanced climate and stress indicators,,55.059,fair,,True,19.836,8.2,4.501,,True,0.0,8.921
