clay_pct,confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.7,0.817,France,rules,0.0,"[""rainfall_mm""]",61.112,44.425172,,,,2.796563,13.444,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P001,194.545,0.164,low,balanced climate and stress indicators,"Best-ranked site P001 for wheat scores 73.1% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Mean temperature (13.4 °C) is within the ideal band (10–21) for wheat. Soil pH (7.16) is within the ideal band (6–7.4) for wheat. Soil organic carbon (10.2 g/kg) is within the ideal band (10–25) for wheat. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.25) for wheat. Clay content (28.7%) is within the ideal band (15–35) for wheat. Relative humidity (61.1%) is within the ideal band (45–72) for wheat. Wind speed (11.1 km/h) is within the ideal band (3–18) for wheat. (+1 more positives)

What works against the site: Rainfall is 195 mm (annualized), outside the viable range (220–1200) for wheat (ideal 350–800). This heavily penalizes suitability.

Data limitations: no values for Reference evapotranspiration (ET0), Surface soil moisture, Sand content. Those gaps reduce confidence and apply a scoring penalty.",73.112,good,,True,10.15,7.16,4.488,,True,0.0,11.137
27.6,0.817,France,rules,0.0,"[""rainfall_mm""]",66.842,45.268652,,,,0.015468,16.14,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P005,83.22,0.154,low,balanced climate and stress indicators,,73.112,good,,True,12.76,6.36,4.742,,True,0.0,9.367
27.4,0.817,France,rules,0.0,"[""rainfall_mm""]",68.112,44.236068,,,,1.178521,15.714,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P006,122.64,0.161,low,balanced climate and stress indicators,,70.093,good,,True,11.194,7.59,4.546,,True,0.0,10.729
19.9,0.887,France,llm,0.0,[],67.704,47.493342,good,"The strongest positive factors are the complete absence of frost risk and zero weather stress, indicating very stable and favorable climatic conditions for wheat growth. However, the most significant limiting factor is the highly alkaline soil pH of 8.06. Wheat thrives in slightly acidic to neutral soils (pH 6.0-7.5), and this high pH will severely restrict the availability of essential nutrients like phosphorus, iron, zinc, and manganese, potentially leading to significant yield reductions. Other factors like mean temperature (14.6°C) and rainfall (246.7mm) are generally suitable. Operational risks include nutrient deficiencies due to high pH, requiring mitigation through soil amendments (e.g., elemental sulfur), acidifying fertilizers, foliar micronutrient applications, and selecting pH-tolerant varieties.",65.0,0.158156,14.577,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P009,246.74,0.163,low,balanced climate and stress indicators,,65.0,good,,True,19.662,8.06,4.539,,True,0.0,11.096
17.9,0.817,France,rules,0.0,"[""rainfall_mm""]",65.383,49.161007,,,,2.515728,12.533,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P004,17.885,0.16,low,balanced climate and stress indicators,,64.374,good,,True,17.922,7.95,4.451,,True,0.0,10.454
17.9,0.817,France,rules,0.0,"[""rainfall_mm""]",63.421,45.947594,,,,4.673498,14.416,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P008,19.71,0.141,low,balanced climate and stress indicators,,63.421,good,,True,16.82,8.01,4.588,,True,0.0,7.208
22.9,0.817,France,rules,0.0,"[""rainfall_mm""]",67.483,47.884928,,,,2.562323,13.729,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P007,30.295,0.16,low,balanced climate and stress indicators,,63.262,good,,True,16.646,8.02,4.539,,True,0.0,10.542
20.9,0.817,France,rules,0.0,"[""rainfall_mm""]",69.15,49.731864,,,,0.303177,12.3,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P002,14.235,0.194,low,balanced climate and stress indicators,,62.308,good,,True,16.936,8.08,2.49,,True,0.0,16.479
20.9,0.817,France,rules,0.0,"[""rainfall_mm""]",69.221,48.344957,,,,-0.005713,13.068,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P003,121.91,0.162,low,balanced climate and stress indicators,,62.308,good,,True,16.936,8.08,4.608,,True,0.0,10.838
20.9,0.817,France,rules,0.0,"[""rainfall_mm""]",71.667,48.332447,,,,-2.224171,13.133,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P010,48.545,0.167,low,balanced climate and stress indicators,,62.308,good,,True,16.936,8.08,4.204,,True,0.0,11.658
